UID,iso2,iso3,code3,county_fips,county_name,state_name,Combined_Key,Date,cumulative_cases,incident_cases,week,wk_incident_cases
8.4001001E7,US,USA,840.0,1001.0,Autauga,Alabama,"Autauga, Alabama, US",2021-05-17,7015.0,5.0,2021-W20,5.0
8.4001003E7,US,USA,840.0,1003.0,Baldwin,Alabama,"Baldwin, Alabama, US",2021-05-17,21444.0,22.0,2021-W20,22.0
8.4001005E7,US,USA,840.0,1005.0,Barbour,Alabama,"Barbour, Alabama, US",2021-05-17,2322.0,2.0,2021-W20,2.0
8.4001007E7,US,USA,840.0,1007.0,Bibb,Alabama,"Bibb, Alabama, US",2021-05-17,2651.0,3.0,2021-W20,3.0
8.4001009E7,US,USA,840.0,1009.0,Blount,Alabama,"Blount, Alabama, US",2021-05-17,6794.0,18.0,2021-W20,18.0
8.4001011E7,US,USA,840.0,1011.0,Bullock,Alabama,"Bullock, Alabama, US",2021-05-17,1233.0,0.0,2021-W20,0.0
8.4001013E7,US,USA,840.0,1013.0,Butler,Alabama,"Butler, Alabama, US",2021-05-17,2190.0,0.0,2021-W20,0.0
8.4001015E7,US,USA,840.0,1015.0,Calhoun,Alabama,"Calhoun, Alabama, US",2021-05-17,14580.0,3.0,2021-W20,3.0
8.4001017E7,US,USA,840.0,1017.0,Chambers,Alabama,"Chambers, Alabama, US",2021-05-17,3606.0,8.0,2021-W20,8.0
8.4001019E7,US,USA,840.0,1019.0,Cherokee,Alabama,"Cherokee, Alabama, US",2021-05-17,1849.0,1.0,2021-W20,1.0
8.4001021E7,US,USA,840.0,1021.0,Chilton,Alabama,"Chilton, Alabama, US",2021-05-17,4389.0,6.0,2021-W20,6.0
8.4001023E7,US,USA,840.0,1023.0,Choctaw,Alabama,"Choctaw, Alabama, US",2021-05-17,610.0,0.0,2021-W20,0.0
8.4001025E7,US,USA,840.0,1025.0,Clarke,Alabama,"Clarke, Alabama, US",2021-05-17,3515.0,0.0,2021-W20,0.0
8.4001027E7,US,USA,840.0,1027.0,Clay,Alabama,"Clay, Alabama, US",2021-05-17,1573.0,1.0,2021-W20,1.0
8.4001029E7,US,USA,840.0,1029.0,Cleburne,Alabama,"Cleburne, Alabama, US",2021-05-17,1498.0,2.0,2021-W20,2.0
8.4001031E7,US,USA,840.0,1031.0,Coffee,Alabama,"Coffee, Alabama, US",2021-05-17,5589.0,6.0,2021-W20,6.0
8.4001033E7,US,USA,840.0,1033.0,Colbert,Alabama,"Colbert, Alabama, US",2021-05-17,6324.0,2.0,2021-W20,2.0
8.4001035E7,US,USA,840.0,1035.0,Conecuh,Alabama,"Conecuh, Alabama, US",2021-05-17,1108.0,0.0,2021-W20,0.0
8.4001037E7,US,USA,840.0,1037.0,Coosa,Alabama,"Coosa, Alabama, US",2021-05-17,1092.0,0.0,2021-W20,0.0
8.4001039E7,US,USA,840.0,1039.0,Covington,Alabama,"Covington, Alabama, US",2021-05-17,4147.0,9.0,2021-W20,9.0
8.4001041E7,US,USA,840.0,1041.0,Crenshaw,Alabama,"Crenshaw, Alabama, US",2021-05-17,1537.0,1.0,2021-W20,1.0
8.4001043E7,US,USA,840.0,1043.0,Cullman,Alabama,"Cullman, Alabama, US",2021-05-17,9786.0,13.0,2021-W20,13.0
8.4001045E7,US,USA,840.0,1045.0,Dale,Alabama,"Dale, Alabama, US",2021-05-17,4883.0,5.0,2021-W20,5.0
8.4001047E7,US,USA,840.0,1047.0,Dallas,Alabama,"Dallas, Alabama, US",2021-05-17,3573.0,4.0,2021-W20,4.0
8.4001049E7,US,USA,840.0,1049.0,DeKalb,Alabama,"DeKalb, Alabama, US",2021-05-17,8870.0,4.0,2021-W20,4.0
8.4001051E7,US,USA,840.0,1051.0,Elmore,Alabama,"Elmore, Alabama, US",2021-05-17,10166.0,8.0,2021-W20,8.0
